"V1","V2","V3","V4"
0,2.03214461886996e-05,0,0
0,2.02525362327567e-05,0,0
0,2.01772873721753e-05,0,0
0,2.00956996069555e-05,0,0
0,2.00077729370972e-05,0,0
0,1.99135073626005e-05,0,0
0,1.98129028834654e-05,0,0
0,1.97059594996918e-05,0,0
0,1.95926772112798e-05,0,0
0,1.94730560182294e-05,0,0
0,1.93470959205405e-05,0,0
0,1.92147969182132e-05,0,0
0,1.90761590112474e-05,0,0
0,1.89311821996432e-05,0,0
0,1.87798664834006e-05,0,0
0,1.86222118625195e-05,0,0
0,1.8458218337e-05,0,0
0,1.82878859068421e-05,0,0
0,1.81112145720457e-05,0,0
0,1.79282043326109e-05,0,0
0,1.77388551885376e-05,0,0
0,1.7543167139826e-05,0,0
0,1.73411401864758e-05,0,0
0,1.71327743284873e-05,0,0
0,1.69180695658603e-05,0,0
0,1.66970258985948e-05,0,0
0,1.6469643326691e-05,0,0
0,1.62359218501486e-05,0,0
0,1.59958614689679e-05,0,0
0,1.57494621831487e-05,0,0
0,1.54967239926911e-05,0,0
0,1.5237646897595e-05,0,0
0,1.49722308978605e-05,0,0
0,1.47004759934876e-05,0,0
0,1.44223821844762e-05,0,0
0,1.41379494708264e-05,0,0
0,1.38471778525382e-05,0,0
0,1.35524489509949e-05,0,0
0,1.32621719478711e-05,0,0
0,1.2977081911495e-05,0,0
0,1.26971788418666e-05,0,0
0,1.24224627389859e-05,0,0
0,1.21529336028529e-05,0,0
0,1.18885914334676e-05,0,0
0,1.16294362308301e-05,0,0
0,1.13754679949402e-05,0,0
0,1.11266867257981e-05,0,0
0,1.08830924234036e-05,0,0
0,1.06446850877569e-05,0,0
0,1.04114647188579e-05,0,0
0,1.01834313167066e-05,0,0
0,9.96058488130297e-06,0,0
0,9.74292541264707e-06,0,0
0,9.53045291073889e-06,0,0
0,9.32316737557841e-06,0,0
0,9.12106880716563e-06,0,0
0,8.92415720550057e-06,0,0
0,8.73243257058321e-06,0,0
0,8.54589490241356e-06,0,0
0,8.36454420099162e-06,0,0
0,8.18838046631739e-06,0,0
0,8.01740369839087e-06,0,0
0,7.85161389721205e-06,0,0
0,7.69101106278094e-06,0,0
0,7.53559519509754e-06,0,0
0,7.38536629416185e-06,0,0
0,7.24032435997387e-06,0,0
0,7.10046939253359e-06,0,0
0,6.96580139184102e-06,0,0
0,6.83632035789617e-06,0,0
0,6.71202629069901e-06,0,0
0,6.59291919024957e-06,0,0
0,6.47899905654783e-06,0,0
0,6.37026588959381e-06,0,0
0,6.26671968938749e-06,0,0
0,6.16836045592888e-06,0,0
0,6.07518818921797e-06,0,0
0,5.98720288925478e-06,0,0
0,5.90440455603929e-06,0,0
0,5.82679318957151e-06,0,0
0,5.75436878985144e-06,0,0
0,5.68713135687908e-06,0,0
0,5.62508089065442e-06,0,0
0,5.56821739117748e-06,0,0
0,5.51654085844824e-06,0,0
0,5.47005129246671e-06,0,0
0,5.42874869323289e-06,0,0
0,5.39263306074677e-06,0,0
0,5.36170439500837e-06,0,0
0,5.33596269601767e-06,0,0
0,5.31540796377468e-06,0,0
0,5.3000401982794e-06,0,0
0,5.28985939953182e-06,0,0
0,5.28486556753195e-06,0,0
0,5.2850587022798e-06,0,0
0,5.29043880377535e-06,0,0
0,5.3010058720186e-06,0,0
0,5.31675990700957e-06,0,0
0,5.33770090874825e-06,0,0
0,5.36382887723463e-06,0,0
0,5.39514381246872e-06,0,0
0,5.43164571445052e-06,0,0
0,5.47333458318002e-06,0,0
0,5.52021041865724e-06,0,0
0,5.57227322088216e-06,0,0
0,5.62952298985479e-06,0,0
0,5.69195972557513e-06,0,0
0,5.75958342804318e-06,0,0
0,5.83239409725893e-06,0,0
0,5.9103917332224e-06,0,0
0,5.99357633593357e-06,0,0
0,6.08194790539245e-06,0,0
0,6.17550644159903e-06,0,0
0,6.27425194455333e-06,0,0
0,6.37818441425533e-06,0,0
0,6.48730385070504e-06,0,0
0,6.60161025390246e-06,0,0
0,6.72110362384759e-06,0,0
0,6.84578396054043e-06,0,0
0,6.97565126398097e-06,0,0
0,7.11070553416922e-06,0,0
0,7.25094677110518e-06,0,0
0,7.39637497478885e-06,0,0
0,7.54699014522022e-06,0,0
0,7.70279228239931e-06,0,0
0,7.8637813863261e-06,0,0
0,8.0299574570006e-06,0,0
0,8.20132049442281e-06,0,0
0,8.37787049859273e-06,0,0
0,8.55960746951035e-06,0,0
1.96373904039397e-10,8.74389490248442e-06,0,0
9.21866382851644e-10,8.92626538678807e-06,0,0
2.1819322671045e-09,9.10664568617987e-06,0,0
3.97657155679797e-09,9.28503580065984e-06,0,0
6.30578425193206e-09,9.46143573022797e-06,0,0
9.16957035250675e-09,9.63584547488425e-06,0,0
1.25679298585221e-08,9.80826503462868e-06,0,0
1.6500862769978e-08,9.97869440946128e-06,0,0
2.09683690868745e-08,1.0147133599382e-05,0,0
2.59704488092116e-08,1.03135826043909e-05,0,0
3.15071019369894e-08,1.0478041424488e-05,0,0
3.75783284702078e-08,1.06405100596732e-05,0,0
4.41841284088668e-08,1.08009885099466e-05,0,0
5.13245017529664e-08,1.09594767753082e-05,0,0
5.89994485025066e-08,1.11159748557579e-05,0,0
